generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
0,0.0016,0.0000,0.0005,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.1286,0.1489,0.1500,0.2694,0.1443,0.1441,0.2599,0.1376,0.1418,0.2634,0.1401,0.1402,0.2602,0.1429,0.1395,0.2715,0.1460,0.1468,0.0019,0.0029,0.0022,0.0024,0.0035,0.0024,0.0037,0.0032,0.0002,0.0007,0.0011,0.0006
200,0.0018,0.0003,0.0002,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.1417,0.0851,0.0855,0.2005,0.1929,0.1975,0.1958,0.1869,0.1919,0.1001,0.0701,0.0686,0.1962,0.1852,0.1877,0.2830,0.1628,0.1693,0.0037,0.0022,0.0083,0.0018,0.0041,0.0025,0.0020,0.0026,0.0005,0.0003,0.0009,0.0011
400,0.0016,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1007,0.0535,0.0568,0.2696,0.0628,0.0644,0.1477,0.0869,0.0890,0.0751,0.0462,0.0503,0.2115,0.0472,0.1308,0.1441,0.1206,0.1269,0.0075,0.0042,0.0039,0.0049,0.0029,0.0108,0.0026,0.0043,0.0003,0.0002,0.0001,0.0006
600,0.0010,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.1345,0.0763,0.0853,0.2199,0.0523,0.0585,0.1347,0.0778,0.0847,0.1122,0.0632,0.0721,0.2256,0.0542,0.0534,0.1151,0.0671,0.0728,0.0034,0.0107,0.0105,0.0058,0.0029,0.0070,0.0020,0.0024,0.0001,0.0002,0.0001,0.0004
800,0.0020,0.0003,0.0002,0.0001,0.0000,0.0001,0.0001,0.0001,0.0001,0.1296,0.0836,0.0718,0.1714,0.0406,0.0375,0.1248,0.1063,0.0960,0.0645,0.0419,0.0402,0.1478,0.0352,0.0370,0.1265,0.0789,0.0709,0.0032,0.0087,0.0061,0.0064,0.0083,0.0043,0.0024,0.0015,0.0002,0.0004,0.0006,0.0003
1000,0.0012,0.0001,0.0005,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.1036,0.0791,0.0752,0.1528,0.0375,0.0355,0.0321,0.0230,0.0240,0.0505,0.0358,0.0370,0.1475,0.0892,0.0896,0.1510,0.0372,0.0398,0.0037,0.0062,0.0049,0.0071,0.0037,0.0043,0.0024,0.0039,0.0001,0.0002,0.0003,0.0003
1200,0.0010,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.1318,0.0778,0.0774,0.1694,0.0496,0.0491,0.0292,0.0228,0.0187,0.0741,0.0475,0.0450,0.0764,0.0569,0.0467,0.1423,0.0412,0.0378,0.0091,0.0050,0.0053,0.0044,0.0051,0.0034,0.0020,0.0039,0.0001,0.0001,0.0004,0.0003
1400,0.0014,0.0001,0.0005,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.1125,0.0812,0.0871,0.1646,0.0452,0.0405,0.0397,0.0268,0.0286,0.0309,0.0240,0.0180,0.1115,0.0659,0.0679,0.1170,0.0243,0.0252,0.0056,0.0055,0.0139,0.0027,0.0078,0.0165,0.0032,0.0086,0.0000,0.0004,0.0002,0.0005
1600,0.0010,0.0001,0.0002,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.1667,0.0410,0.0412,0.1430,0.0373,0.0394,0.0124,0.0103,0.0104,0.0106,0.0083,0.0080,0.0798,0.0465,0.0488,0.1377,0.0330,0.0345,0.0058,0.0063,0.0045,0.0208,0.0079,0.0040,0.0017,0.0046,0.0001,0.0001,0.0001,0.0006
1800,0.0020,0.0000,0.0017,0.0017,0.0012,0.0002,0.0002,0.0002,0.0003,0.1157,0.0227,0.0255,0.1211,0.0326,0.0324,0.0202,0.0138,0.0148,0.0036,0.0035,0.0026,0.0678,0.0365,0.0389,0.1256,0.0269,0.0309,0.0096,0.0258,0.0045,0.0031,0.0090,0.0042,0.0041,0.0073,0.0001,0.0012,0.0006,0.0003
