generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
0,322.2,1050.0,616492,0.5291,0.0007,0.0029,0.0015,-0.1555,-0.2713,0.0000,0.6855,0.0000,0.0000,0.0000,12.0,12,12,6.0,6,6,710,1.7908,475,0.0000
200,468.3,1350.0,760312,0.4936,0.0004,0.0279,0.0657,-0.0589,-0.0625,0.0000,0.7223,0.0000,0.0000,0.0000,9.9,6,15,5.8,2,14,576,1.7091,362,0.0000
400,1084.5,2350.0,820167,0.4729,0.0001,0.1112,0.1339,0.0284,0.0481,0.0000,0.7402,0.0000,0.0000,0.0000,8.3,7,11,6.8,2,15,739,1.5975,447,0.0000
600,1164.4,2900.0,796040,0.5296,0.0001,0.1329,0.1303,0.2989,0.0328,0.0000,0.7210,0.0000,0.0000,0.0000,8.5,7,11,7.1,2,18,1051,1.6218,495,0.0000
800,1095.9,2500.0,800598,0.5188,0.0006,0.1376,0.1326,0.0061,0.0444,0.0000,0.7358,0.0000,0.0000,0.0000,8.6,7,12,10.5,2,18,859,1.6698,520,0.0000
1000,1210.2,2700.0,801597,0.5305,0.0002,0.1216,0.1240,0.1637,0.0000,0.0000,0.7256,0.0000,0.0000,0.0000,8.8,6,12,8.7,2,18,987,1.5646,406,0.0000
1200,1275.3,2950.0,827452,0.5359,0.0000,0.1569,0.1498,0.1393,0.0355,0.0000,0.7434,0.0000,0.0000,0.0000,8.7,7,12,7.1,2,18,930,1.3860,465,0.0000
1400,1140.4,2800.0,780799,0.4651,0.0003,0.1729,0.1553,0.1858,0.0000,0.0000,0.7624,0.0000,0.0000,0.0000,8.5,6,11,10.8,2,18,1027,1.4926,575,0.0000
1600,1243.3,2600.0,819258,0.3785,0.0000,0.1501,0.1594,0.1334,0.0000,0.0000,0.6876,0.0000,0.0000,0.0000,8.5,7,11,11.2,4,17,821,1.3586,546,0.0000
1800,1308.2,2750.0,821062,0.5253,0.0003,0.1683,0.1668,0.1948,0.0000,0.0000,0.6398,0.0000,0.0000,0.0000,8.8,6,12,10.1,3,19,922,1.3429,336,0.0000
2000,1316.5,2850.0,837729,0.3889,0.0001,0.1737,0.1423,0.2205,0.0000,0.0000,0.7025,0.0000,0.0000,0.0000,8.6,7,11,10.7,2,18,794,1.2047,498,0.0000
2200,1377.4,3200.0,817513,0.5630,0.0001,0.1403,0.1335,0.1726,0.0000,0.0000,0.7864,0.0000,0.0000,0.0000,8.5,7,12,11.1,3,22,1035,1.0792,435,0.0000
2400,1285.7,3150.0,772036,0.3942,0.0002,0.0973,0.0875,0.1885,0.0222,0.0000,0.6894,0.0000,0.0000,0.0000,8.5,7,11,12.8,4,21,993,1.0207,459,0.0000
2600,1341.9,2900.0,820935,0.5181,0.0004,0.1363,0.1090,0.1473,0.0000,0.0000,0.7682,0.0000,0.0000,0.0000,8.6,7,11,8.3,2,21,952,1.0006,479,0.0000
2800,1334.5,2800.0,816587,0.5221,0.0001,0.1084,0.1023,0.1219,0.0000,0.0000,0.5652,0.0000,0.0000,0.0000,8.6,7,12,7.5,2,21,933,0.9231,509,0.0000
3000,1421.3,2750.0,819459,0.5205,0.0001,0.1320,0.1254,0.2098,0.0000,0.0000,0.7946,0.0000,0.0000,0.0000,8.6,6,11,11.8,2,25,971,1.1053,344,0.0000
3200,1355.5,3000.0,822641,0.4539,0.0001,0.1119,0.1096,0.1560,0.0000,0.0000,0.6785,0.0000,0.0000,0.0000,8.8,7,12,12.4,2,26,896,1.0318,443,0.0000
3400,1431.3,2950.0,850519,0.5008,0.0002,0.1123,0.1010,0.1647,0.0371,0.0000,0.5895,0.0000,0.0000,0.0000,8.8,6,12,12.6,2,25,854,1.0823,475,0.0000
3600,1458.9,3200.0,838475,0.4772,0.0006,0.1077,0.0979,0.0351,0.0000,0.0000,0.6762,0.0000,0.0000,0.0000,8.7,7,12,12.0,2,27,855,1.0333,377,0.0000
3800,1366.9,2850.0,817193,0.4746,0.0002,0.1337,0.1350,0.1294,0.0000,1.8768,0.7565,0.0000,0.0000,0.0000,8.9,7,12,9.5,2,28,879,1.2432,567,0.0000
4000,1422.7,3100.0,832502,0.5431,0.0002,0.1260,0.1454,0.1571,0.0000,1.8719,0.6393,0.0000,0.0000,0.0000,8.7,7,12,6.9,2,27,935,1.0265,418,0.0000
4200,1346.8,3050.0,794701,0.4269,0.0004,0.1372,0.1628,0.1374,0.0321,1.4801,0.6844,0.0000,0.0000,0.0000,8.9,7,12,9.5,2,30,978,1.3040,322,0.0000
4400,1422.5,2950.0,856001,0.6293,0.0001,0.1590,0.1648,0.1320,0.0000,1.9041,0.6447,0.0000,0.0000,0.0000,9.0,6,13,11.1,2,31,775,1.3431,463,0.0000
4600,1437.6,3400.0,842508,0.5044,0.0001,0.1526,0.1524,0.1698,0.0392,1.8770,0.6903,0.0000,0.0000,0.0000,9.1,7,12,6.5,2,27,830,1.3567,471,0.0000
4800,1445.2,3100.0,839880,0.5565,0.0001,0.1693,0.1756,0.0943,0.0000,1.8309,0.7186,0.0000,0.0000,0.0000,9.2,7,13,7.6,2,16,914,1.2336,427,0.0000
5000,1408.4,2800.0,838541,0.5318,0.0001,0.1666,0.1731,0.1378,0.0000,1.8163,0.7627,0.0000,0.0000,0.0000,9.2,7,12,8.0,2,18,907,1.2544,427,0.0000
5200,1390.9,3100.0,797983,0.4087,0.0001,0.1824,0.1800,0.2055,0.0000,1.8560,0.6887,0.0000,0.0000,0.0000,9.0,7,13,8.9,2,21,1025,1.3110,709,0.0000
5400,1498.2,3250.0,829257,0.5291,0.0001,0.1936,0.1867,0.0771,0.0000,1.8103,0.7706,0.0000,0.0000,0.0000,9.1,6,13,4.7,2,17,1002,1.4022,437,0.0000
5600,1516.0,3200.0,828724,0.5294,0.0000,0.2004,0.1791,0.1188,0.0000,1.8351,0.7274,0.0000,0.0000,0.0000,9.1,7,13,6.1,2,17,970,1.4784,466,0.0000
5800,1453.0,3200.0,802377,0.4783,0.0001,0.1981,0.1833,0.0937,0.0000,1.7498,0.7784,0.0000,0.0000,0.0000,9.2,7,12,5.7,2,13,1035,1.4723,630,0.0000
6000,1500.8,3400.0,825024,0.6159,0.0000,0.2030,0.2015,0.2083,0.0000,1.9254,0.7352,0.0000,0.0000,0.0000,9.0,7,12,5.9,2,14,1095,1.3826,520,0.0000
6200,1429.9,3200.0,812315,0.4960,0.0003,0.1697,0.1836,0.0897,0.0000,2.0567,0.6853,0.0000,0.0000,0.0000,9.3,7,12,6.6,2,13,922,1.4864,538,0.0000
6400,1501.9,3150.0,838038,0.5459,0.0001,0.1477,0.1593,0.1366,0.0478,1.6750,0.7703,0.0000,0.0000,0.0000,9.4,7,12,7.3,2,15,949,1.4173,408,0.0000
