generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
0,79156,31129,0,0,79098,24645,0,0,73610,23431,0,0,75214,25805,0,0,72834,25797,0,0,80377,25396,0,0,0.0014,0.0016,0.0024,0.0006,0.0018,0.0033,0.0000,0.0013,0.0011,0.0005,0.0003,0.0012,0.0000,0.0002,0.0004,0.0000,0.0001,0.0003,0.0000,0.0000,0.0002,0.0003
200,48001,24750,0,0,118673,58794,0,0,111532,54219,0,0,34290,15587,0,0,107180,53492,0,0,85395,48399,0,0,0.0274,0.0314,0.0291,0.0356,0.0344,0.0465,0.0043,0.0000,0.0001,0.0004,0.0000,0.0003,0.0000,0.0002,0.0000,0.0005,0.0001,0.0000,0.0007,0.0002,0.0014,0.0005
400,37246,18857,0,0,196658,104526,0,0,55649,27284,0,0,33428,16330,0,0,116555,59898,0,0,102755,50981,0,0,0.1268,0.1181,0.1195,0.1210,0.1105,0.1010,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0000,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000
600,58863,13998,0,0,218886,50769,0,0,67889,14341,0,0,55734,13389,0,0,179307,40950,0,0,65603,16311,0,0,0.1486,0.1431,0.1249,0.1316,0.1235,0.1145,0.0141,0.0000,0.0003,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0003,0.0001,0.0005,0.0000,0.0000,0.0001
800,72787,29692,0,0,181075,65811,0,0,115516,37043,0,0,27817,11475,0,0,116593,44669,0,0,70741,27379,0,0,0.1626,0.1538,0.1425,0.1390,0.1117,0.1106,0.0052,0.0003,0.0014,0.0000,0.0001,0.0001,0.0004,0.0004,0.0001,0.0001,0.0015,0.0008,0.0009,0.0001,0.0001,0.0000
1000,99490,28326,0,0,186057,49901,0,0,16823,5667,0,0,27421,6982,0,0,125895,33129,0,0,174768,47138,0,0,0.1522,0.1426,0.1140,0.1250,0.1115,0.0878,0.0028,0.0001,0.0006,0.0003,0.0001,0.0001,0.0012,0.0001,0.0000,0.0000,0.0017,0.0013,0.0011,0.0000,0.0001,0.0000
1200,76214,20403,0,0,317887,82179,0,0,16600,4563,0,0,37440,9853,0,0,43261,11484,0,0,164669,42899,0,0,0.1775,0.1614,0.1551,0.1563,0.1415,0.1379,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
1400,84218,37818,0,0,206741,91543,0,0,21951,7542,0,0,15280,6854,0,0,66311,27914,0,0,149571,65056,0,0,0.1982,0.1801,0.1654,0.1630,0.1552,0.1437,0.0053,0.0000,0.0018,0.0000,0.0001,0.0000,0.0016,0.0000,0.0001,0.0000,0.0018,0.0010,0.0014,0.0001,0.0000,0.0000
1600,142478,109936,0,0,175988,134555,0,0,6681,4994,0,0,5321,3840,0,0,32090,24823,0,0,99470,79082,0,0,0.2047,0.1899,0.0964,0.1505,0.1386,0.1320,0.0102,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0003,0.0000
1800,164035,56017,0,0,235912,81980,0,0,11797,4442,0,0,2844,1064,0,0,37118,12414,0,0,153540,59899,0,0,0.2172,0.1851,0.1483,0.2000,0.1552,0.0970,0.0157,0.0000,0.0002,0.0002,0.0000,0.0004,0.0002,0.0001,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003,0.0000,0.0006
2000,58228,41448,0,0,284686,191333,0,0,13030,8421,0,0,2183,1514,0,0,34031,22394,0,0,106510,73951,0,0,0.1888,0.1893,0.1537,0.1925,0.1492,0.1020,0.0111,0.0001,0.0003,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0001,0.0000,0.0001
2200,169184,33846,0,0,408222,85628,0,0,12290,2991,0,0,2514,686,0,0,22619,4875,0,0,60963,13695,0,0,0.1903,0.1818,0.1717,0.1165,0.0901,0.0754,0.0298,0.0000,0.0007,0.0018,0.0001,0.0002,0.0004,0.0013,0.0000,0.0001,0.0003,0.0003,0.0001,0.0011,0.0008,0.0000
