generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
0,302.4,750.0,111910,0.3945,0.0036,0.0123,0.0109,-0.0222,-0.2929,0.0000,0.8262,0.1728,0.0000,0.0000,12.0,12,12,6.0,6,6,173,1.7831,113,0.0029
10,342.2,750.0,123092,0.4740,0.0011,0.0162,0.0217,0.0410,-0.3078,0.0000,0.7867,0.0113,0.0000,0.0000,12.1,10,15,5.8,4,6,142,1.7657,95,0.0033
20,375.9,750.0,132643,0.5324,0.0007,0.0093,0.0156,-0.1549,-0.3078,0.0000,0.6808,0.0556,0.0000,0.0000,11.8,9,14,5.6,3,6,130,1.7731,62,0.0046
30,356.4,750.0,128013,0.5584,0.0005,0.0071,0.0099,-0.1368,-0.2865,0.0000,0.7774,-0.0486,0.0000,0.0000,11.5,8,15,5.1,3,6,136,1.7231,66,0.0048
40,357.9,850.0,127506,0.5898,0.0016,0.0168,0.0113,-0.1282,-0.3548,0.0000,0.7712,0.0168,0.0000,0.0000,10.7,7,15,5.1,3,6,149,1.7324,74,0.0021
50,387.7,850.0,135074,0.5824,0.0012,0.0158,0.0238,-0.0406,-0.2490,0.0000,0.6249,0.1076,0.0000,0.0000,11.1,7,14,4.6,2,6,130,1.6924,58,0.0036
60,384.5,900.0,134926,0.4681,0.0026,0.0108,0.0163,-0.0372,-0.3425,0.0000,0.7388,0.0292,0.0000,0.0000,11.0,7,14,4.6,2,6,118,1.6653,63,0.0033
70,359.6,800.0,128346,0.5043,0.0018,0.0244,0.0125,-0.0564,-0.3968,0.0000,0.7894,0.0279,0.0000,0.0000,10.9,8,14,4.2,2,6,132,1.6201,77,0.0040
80,401.1,850.0,137348,0.5400,0.0011,0.0272,0.0088,-0.1188,-0.2161,0.0000,0.7185,0.0024,0.0000,0.0000,11.0,8,14,4.5,2,6,119,1.6185,56,0.0015
90,403.6,850.0,136066,0.4703,0.0034,0.0389,0.0267,-0.1395,-0.2649,0.0000,0.7789,-0.0134,0.0000,0.0000,11.1,9,14,4.2,2,6,131,1.4862,71,0.0015
100,416.4,800.0,140015,0.5484,0.0023,0.0550,0.0815,-0.0768,-0.2066,0.0000,0.7611,0.1408,0.0000,0.0000,11.2,8,16,4.4,2,6,121,1.4627,46,0.0020
110,432.3,900.0,141782,0.5291,0.0002,0.1001,0.1027,0.0063,-0.1178,0.0000,0.7282,0.0046,0.0000,0.0000,10.4,8,15,4.1,2,6,135,1.3721,50,0.0013
120,426.2,900.0,138490,0.4578,0.0003,0.0677,0.0915,-0.2316,-0.1582,0.0000,0.7416,0.0102,0.0000,0.0000,9.8,7,14,4.3,2,6,156,1.3866,85,0.0017
