generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
0,0.0104,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1765,0.1856,0.1757,0.1672,0.1770,0.1665,0.2671,0.1605,0.1470,0.2958,0.1675,0.1683,0.2623,0.1435,0.1527,0.2882,0.1708,0.1509,0.0085,0.0246,0.0192,0.0166,0.0228,0.0103,0.0023,0.0113,0.0012,0.0000,0.0000,0.0000
10,0.0107,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3086,0.1890,0.1783,0.3088,0.1807,0.1864,0.2640,0.1514,0.1642,0.3164,0.2024,0.1759,0.1803,0.1090,0.1435,0.3199,0.2094,0.1804,0.0123,0.0176,0.0060,0.0102,0.0143,0.0087,0.0124,0.0165,0.0007,0.0000,0.0000,0.0000
20,0.0043,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3024,0.1775,0.1859,0.3043,0.1853,0.1765,0.3297,0.2047,0.1973,0.2969,0.1484,0.1665,0.1931,0.2365,0.2161,0.1775,0.1124,0.1072,0.0231,0.0253,0.0162,0.0100,0.0164,0.0115,0.0111,0.0108,0.0009,0.0000,0.0000,0.0000
30,0.0098,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2178,0.1295,0.1338,0.2974,0.1915,0.2033,0.3102,0.1934,0.1918,0.3043,0.1844,0.2069,0.3387,0.2248,0.2170,0.3036,0.2010,0.1949,0.0193,0.0148,0.0110,0.0232,0.0156,0.0182,0.0114,0.0073,0.0015,0.0000,0.0000,0.0000
40,0.0082,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1166,0.0937,0.0905,0.2190,0.1307,0.1389,0.3604,0.2299,0.2264,0.3325,0.2045,0.2139,0.2270,0.2390,0.2484,0.3101,0.1978,0.1376,0.0197,0.0203,0.0107,0.0144,0.0076,0.0069,0.0148,0.0153,0.0023,0.0000,0.0000,0.0000
50,0.0147,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1182,0.0916,0.0737,0.3436,0.2196,0.2186,0.3337,0.2035,0.2085,0.2941,0.1960,0.1818,0.2093,0.2494,0.2403,0.3454,0.2226,0.2192,0.0097,0.0161,0.0104,0.0185,0.0127,0.0137,0.0150,0.0110,0.0013,0.0000,0.0000,0.0000
60,0.0112,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1929,0.1215,0.1194,0.3223,0.2026,0.2303,0.1698,0.2187,0.2398,0.1613,0.2024,0.2259,0.3033,0.1800,0.2001,0.1621,0.1088,0.1135,0.0118,0.0251,0.0170,0.0222,0.0134,0.0099,0.0166,0.0161,0.0010,0.0000,0.0000,0.0000
70,0.0108,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1652,0.1116,0.1174,0.1710,0.2126,0.2264,0.3265,0.2004,0.2149,0.2264,0.2309,0.2524,0.2181,0.1332,0.1373,0.1797,0.1340,0.1196,0.0138,0.0171,0.0191,0.0277,0.0271,0.0145,0.0235,0.0209,0.0027,0.0000,0.0000,0.0000
80,0.0062,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2145,0.1376,0.1237,0.2984,0.1856,0.1831,0.3592,0.2400,0.2231,0.1724,0.2294,0.2449,0.3011,0.1909,0.1912,0.2020,0.1187,0.1302,0.0160,0.0133,0.0051,0.0126,0.0121,0.0102,0.0147,0.0090,0.0016,0.0000,0.0000,0.0000
90,0.0200,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1113,0.0889,0.0881,0.3180,0.1976,0.1517,0.3605,0.2272,0.2285,0.1600,0.2097,0.2280,0.1673,0.1141,0.1194,0.2049,0.2239,0.2206,0.0063,0.0104,0.0126,0.0120,0.0123,0.0067,0.0037,0.0118,0.0032,0.0000,0.0000,0.0000
