generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
0,295.9,850.0,110110,0.3653,0.0036,0.0106,0.0174,-0.0701,-0.2743,0.0000,0.8592,0.1227,0.0000,0.0000,12.0,12,12,6.0,6,6,171,1.7837,121,0.0000
10,338.9,750.0,123392,0.4021,0.0022,0.0182,0.0273,-0.0527,-0.3266,0.0000,0.8082,0.0341,0.0000,0.0000,11.8,9,13,5.9,4,6,123,1.7769,78,0.0000
20,336.6,850.0,121427,0.5396,0.0018,0.0239,0.0558,-0.1231,-0.3007,0.0000,0.7485,0.0822,0.0000,0.0000,11.8,11,13,5.7,4,6,157,1.7617,86,0.0000
30,338.5,850.0,123119,0.5584,0.0035,0.0377,0.0272,-0.1384,-0.3451,0.0000,0.8043,0.0855,0.0000,0.0000,12.0,10,14,5.6,3,6,128,1.7860,66,0.0000
40,335.9,750.0,122841,0.5261,0.0018,0.0165,0.0407,-0.1309,-0.3477,0.0000,0.8265,-0.0451,0.0000,0.0000,12.2,9,14,5.4,2,6,125,1.7396,61,0.0000
50,357.7,750.0,127959,0.5742,0.0016,0.0075,0.0125,-0.1373,-0.2947,0.0000,0.7565,0.1091,0.0000,0.0000,12.1,9,15,5.4,3,6,111,1.7467,41,0.0000
60,347.9,700.0,125472,0.4678,0.0034,0.0173,0.0057,-0.0350,-0.3069,0.0000,0.7903,-0.0411,0.0000,0.0000,12.4,9,15,5.3,3,6,131,1.7636,41,0.0000
70,350.8,800.0,124608,0.4695,0.0022,0.0130,0.0143,-0.1849,-0.3315,0.0000,0.7356,0.1228,0.0000,0.0000,12.5,10,15,5.2,4,6,133,1.7483,65,0.0000
80,382.5,850.0,134363,0.5833,0.0008,0.0221,0.0258,-0.1435,-0.3120,0.0000,0.7658,0.0683,0.0000,0.0000,12.5,9,16,4.9,2,6,113,1.7687,32,0.0000
90,363.6,850.0,128745,0.4441,0.0071,0.0253,0.0309,-0.1121,-0.3060,0.0000,0.7433,0.0460,0.0000,0.0000,12.1,9,15,4.5,2,6,132,1.7316,80,0.0000
100,390.8,850.0,135791,0.5721,0.0004,0.0330,0.0193,-0.1269,-0.2443,0.0000,0.7348,0.0371,0.0000,0.0000,12.2,9,15,4.3,2,6,108,1.7485,39,0.0000
110,347.4,800.0,125871,0.4587,0.0001,0.0333,0.0145,-0.0362,-0.3329,0.0000,0.7975,0.1244,0.0000,0.0000,12.3,8,16,3.9,2,6,126,1.7671,45,0.0000
120,380.8,800.0,134234,0.5518,0.0023,0.0347,0.0203,-0.0820,-0.2525,0.0000,0.7554,-0.0525,0.0000,0.0000,12.9,7,16,3.7,2,6,110,1.7603,40,0.0000
130,382.5,850.0,133393,0.5561,0.0028,0.0134,0.0151,-0.1815,-0.3626,0.0000,0.7441,0.0097,0.0000,0.0000,12.5,6,18,3.9,2,6,111,1.7394,42,0.0000
140,360.0,750.0,130465,0.4114,0.0033,0.0193,0.0084,-0.0427,-0.3996,0.0000,0.7440,0.0711,0.0000,0.0000,12.5,6,17,4.1,2,6,101,1.6949,44,0.0000
150,382.3,700.0,135272,0.4786,0.0029,0.0195,0.0212,-0.2226,-0.2835,0.0000,0.7665,0.0278,0.0000,0.0000,12.7,5,17,4.6,2,6,109,1.7309,40,0.0000
160,385.9,850.0,134191,0.4346,0.0005,0.0285,0.0578,0.0267,-0.2805,0.0000,0.7088,0.1062,0.0000,0.0000,10.9,5,17,3.6,2,6,119,1.6967,72,0.0000
170,400.3,850.0,136847,0.3220,0.0010,0.0478,0.0347,-0.0322,-0.2392,0.0000,0.7194,0.0796,0.0000,0.0000,10.4,5,17,3.3,2,6,100,1.6729,63,0.0000
180,416.6,900.0,138481,0.6366,0.0009,0.0533,0.0494,-0.0653,-0.1779,0.0000,0.7020,0.0088,0.0000,0.0000,9.5,4,17,3.9,2,6,126,1.6404,45,0.0000
190,420.3,1000.0,137759,0.5568,0.0008,0.0608,0.0649,-0.1300,-0.1508,2.5477,0.5555,0.0594,0.0000,0.0000,6.6,4,15,4.4,2,6,133,1.5857,61,0.0000
200,413.8,1000.0,134292,0.4000,0.0009,0.0992,0.0980,-0.0373,-0.1520,2.5614,0.7037,0.0442,0.0000,0.0000,6.4,4,16,5.1,2,6,149,1.6648,55,0.0000
210,459.7,1000.0,141571,0.4637,0.0024,0.0933,0.1024,-0.1436,-0.1032,2.5948,0.7235,-0.1268,0.0000,0.0000,5.7,4,9,5.0,2,6,158,1.6700,52,0.0000
220,494.2,1150.0,146068,0.4529,0.0025,0.1087,0.1148,-0.1442,-0.0258,2.6169,0.7215,-0.0639,0.0000,0.0000,5.6,4,9,4.8,2,6,164,1.7043,78,0.0000
230,535.4,1100.0,152359,0.6060,0.0015,0.1277,0.1354,-0.0411,0.0553,2.5672,0.7041,-0.0534,0.0000,0.0000,4.6,4,9,5.1,2,6,155,1.6104,69,0.0000
240,530.1,1300.0,143274,0.6043,0.0008,0.1423,0.1679,-0.1058,0.0455,2.6156,0.7550,-0.0378,0.0000,0.0000,4.4,4,7,4.8,2,6,180,1.6841,102,0.0000
250,537.1,1350.0,143700,0.5317,0.0007,0.1404,0.1471,0.0116,0.0017,2.6345,0.7836,-0.0449,0.0000,0.0000,4.2,4,7,4.6,2,6,223,1.7224,124,0.0000
260,614.0,1650.0,147888,0.5590,0.0010,0.1435,0.1550,-0.0367,0.0381,2.6506,0.7343,0.1007,0.0000,0.0000,4.1,4,5,4.0,2,6,189,1.6736,121,0.0000
270,627.2,1900.0,148770,0.4804,0.0012,0.1461,0.1458,0.0001,0.0466,2.6605,0.7168,0.0243,0.0000,0.0000,4.1,4,5,3.6,2,6,187,1.6411,97,0.0000
280,641.6,1450.0,150437,0.5059,0.0009,0.1534,0.1513,0.1333,0.0814,0.6418,0.7329,0.0154,0.0000,0.0000,4.2,4,6,3.1,2,6,188,1.4581,108,0.0000
290,678.7,1550.0,152816,0.5011,0.0007,0.1774,0.1764,-0.0646,0.0798,0.6541,0.7851,-0.0533,0.0000,0.0000,4.0,4,5,3.6,2,6,165,1.4585,109,0.0000
300,685.9,1452.0,145514,0.5139,0.0036,0.1663,0.1647,0.1217,0.0562,0.6382,0.7750,-0.0295,0.0000,0.0000,4.0,4,6,3.2,2,6,224,1.3093,114,0.0000
310,694.8,1600.0,146620,0.4849,0.0008,0.1751,0.1688,0.0352,0.0171,0.6291,0.7950,0.0856,0.0000,0.0000,4.1,4,5,3.3,2,6,217,1.1660,110,0.0000
320,729.6,1500.0,149740,0.5637,0.0001,0.1718,0.1966,0.1575,0.0467,0.6209,0.7548,-0.0575,0.0000,0.0000,4.1,4,6,3.3,2,6,236,1.0315,125,0.0000
330,709.7,1500.0,150783,0.4695,0.0003,0.1770,0.1899,0.0967,0.0426,0.2822,0.7991,-0.0698,0.0000,0.0000,4.1,4,5,3.2,2,6,206,0.9704,118,0.0000
340,658.6,1467.0,146516,0.5172,0.0021,0.1612,0.1784,0.0795,0.0304,0.2688,0.7255,0.0285,0.0000,0.0000,4.0,4,6,3.1,2,6,221,0.8148,150,0.0000
350,688.5,1600.0,147102,0.5757,0.0004,0.2069,0.1851,0.1236,0.0284,0.2901,0.7978,-0.0218,0.0000,0.0000,4.1,4,6,3.0,2,5,224,0.7603,131,0.0000
360,639.6,1400.0,137774,0.4583,0.0002,0.2472,0.2383,0.0542,0.0540,0.4576,0.8123,-0.0599,0.0000,0.0000,4.1,4,5,2.9,2,5,239,1.1268,123,0.0000
370,693.2,1450.0,142752,0.5187,0.0004,0.2494,0.2217,0.0776,0.0000,0.4594,0.7684,0.1715,0.0000,0.0000,4.0,4,6,3.0,2,5,262,0.7870,160,0.0000
380,752.2,1500.0,151456,0.5574,0.0000,0.2004,0.1924,0.2191,0.0680,0.4703,0.6687,0.0202,0.0000,0.0000,4.1,4,6,2.7,2,6,232,0.7466,113,0.0000
390,743.1,1550.0,153592,0.3777,0.0003,0.2042,0.2107,0.0500,0.0458,0.7056,0.7130,0.0477,0.0000,0.0000,4.1,4,5,2.4,2,5,200,0.8444,110,0.0000
400,750.0,1650.0,147151,0.4817,0.0004,0.2784,0.2249,0.1342,0.0486,0.7086,0.7422,0.1594,0.0000,0.0000,4.1,4,5,2.7,2,5,227,0.8772,143,0.0000
410,730.6,1550.0,146186,0.5650,0.0001,0.2409,0.2250,0.1293,0.0211,0.6992,0.7964,0.0005,0.0000,0.0000,4.1,4,6,2.9,2,5,233,0.6937,122,0.0000
420,748.6,1650.0,147762,0.4569,0.0003,0.2313,0.2385,0.0914,0.0000,0.6944,0.7811,-0.0078,0.0000,0.0000,4.1,4,6,2.8,2,5,212,0.7211,119,0.0000
430,689.9,1800.0,139695,0.4785,0.0002,0.2208,0.2582,0.0021,0.0000,0.7361,0.6465,0.0167,0.0000,0.0000,4.2,4,7,2.7,2,5,222,0.6606,160,0.0000
440,721.9,1750.0,145417,0.5075,0.0004,0.2092,0.2164,0.1287,0.0338,0.7328,0.7966,0.0294,0.0000,0.0000,4.2,4,5,3.0,2,6,247,0.7032,111,0.0000
450,754.5,1650.0,149886,0.4194,0.0006,0.2194,0.2167,0.0609,0.0305,0.7331,0.7275,0.0180,0.0000,0.0000,4.1,4,6,2.7,2,5,193,0.7656,123,0.0000
460,683.0,1500.0,143220,0.4386,0.0005,0.1666,0.2129,0.0673,0.0445,0.6896,0.8052,0.1118,0.0000,0.0000,4.2,4,6,2.5,2,5,207,0.7263,96,0.0000
470,699.6,1750.0,141263,0.4905,0.0011,0.1764,0.1822,0.0614,0.0000,0.6839,0.8343,-0.0405,0.0000,0.0000,4.2,4,6,2.8,2,5,257,0.7294,154,0.0000
