generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
0,12978,8311,16,0,12325,9106,6,0,9653,7000,13,0,9748,8302,14,0,7096,7958,20,0,9683,7876,5,0,0.0089,0.0013,0.0215,0.0095,0.0068,0.0101,0.0000,0.0007,0.0005,0.0025,0.0097,0.0018,0.0001,0.0007,0.0056,0.0003,0.0008,0.0059,0.0005,0.0024,0.0001,0.0034
10,11923,8467,0,0,12298,10324,0,0,9962,7081,0,0,12676,11015,0,0,9633,5416,0,0,14408,10189,0,0,0.0144,0.0264,0.0295,0.0193,0.0098,0.0169,0.0029,0.0009,0.0000,0.0013,0.0016,0.0000,0.0009,0.0000,0.0048,0.0009,0.0012,0.0016,0.0000,0.0057,0.0013,0.0016
20,15780,2750,0,0,15255,3952,0,0,18093,3828,0,0,15205,2952,0,0,23954,6163,0,0,10640,2855,0,0,0.0434,0.0223,0.0291,0.0280,0.0277,0.0222,0.0352,0.0028,0.0006,0.0002,0.0027,0.0034,0.0008,0.0016,0.0000,0.0000,0.0001,0.0007,0.0011,0.0015,0.0020,0.0000
30,14130,3109,0,0,14498,5297,0,0,16400,3518,0,0,16974,4748,0,0,20459,4089,0,0,16048,3849,0,0,0.0402,0.0334,0.0401,0.0405,0.0194,0.0339,0.0013,0.0055,0.0000,0.0011,0.0002,0.0001,0.0060,0.0016,0.0076,0.0039,0.0014,0.0001,0.0002,0.0022,0.0005,0.0006
40,6996,2943,0,0,12488,3957,0,0,18507,5095,0,0,17997,5550,0,0,22464,8011,0,0,14924,3909,0,0,0.0207,0.0162,0.0144,0.0181,0.0258,0.0173,0.0030,0.0020,0.0042,0.0023,0.0007,0.0052,0.0004,0.0000,0.0003,0.0008,0.0003,0.0015,0.0001,0.0005,0.0006,0.0021
50,7968,1612,0,0,17673,4043,0,0,19149,4088,0,0,17089,2483,0,0,23500,5522,0,0,20395,4437,0,0,0.0072,0.0068,0.0058,0.0051,0.0026,0.0049,0.0049,0.0003,0.0001,0.0017,0.0004,0.0001,0.0001,0.0033,0.0000,0.0000,0.0024,0.0002,0.0000,0.0038,0.0026,0.0001
60,11388,4192,0,0,16134,5431,0,0,17939,9038,0,0,18981,7118,0,0,16618,4815,0,0,10357,3461,0,0,0.0066,0.0144,0.0089,0.0119,0.0184,0.0096,0.0082,0.0002,0.0026,0.0000,0.0013,0.0002,0.0042,0.0003,0.0005,0.0000,0.0023,0.0076,0.0043,0.0015,0.0003,0.0005
70,9796,4211,0,0,18303,9019,0,0,16234,5506,0,0,20440,9652,0,0,12234,4288,0,0,10741,4184,0,0,0.0119,0.0109,0.0056,0.0108,0.0258,0.0124,0.0019,0.0005,0.0014,0.0002,0.0010,0.0002,0.0036,0.0000,0.0030,0.0015,0.0028,0.0000,0.0005,0.0023,0.0010,0.0003
80,14615,2237,0,0,18841,3176,0,0,22380,4217,0,0,25760,4338,0,0,19516,2529,0,0,14335,2419,0,0,0.0146,0.0363,0.0094,0.0172,0.0304,0.0221,0.0177,0.0001,0.0007,0.0001,0.0004,0.0001,0.0002,0.0000,0.0010,-0.0000,0.0002,0.0020,0.0002,0.0010,0.0000,0.0010
90,7504,2690,0,0,11751,8664,0,0,17468,9046,0,0,20419,7193,0,0,8991,5430,0,0,20438,9151,0,0,0.0333,0.0118,0.0114,0.0212,0.0326,0.0438,0.0275,0.0144,0.0035,0.0000,0.0073,0.0013,0.0037,0.0150,0.0012,0.0072,0.0039,0.0007,0.0006,0.0078,0.0015,0.0025
