generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
0,19190,42208,0,0,19047,36281,0,0,23374,42332,0,0,23394,38360,0,0,19462,39413,0,0,18950,38043,0,0,0.0005,0.0010,0.0007,0.0004,0.0005,0.0009,0.0000,0.0006,0.0010,0.0024,0.0002,0.0002,0.0001,0.0006,0.0001,0.0001,0.0003,0.0004,0.0003,0.0013,0.0012,0.0000
10,11813,17253,0,0,13055,20384,0,0,14430,23170,0,0,8331,18554,0,0,11846,23540,0,0,11752,22478,0,0,0.0034,0.0020,0.0029,0.0035,0.0024,0.0028,0.0015,0.0001,0.0003,0.0051,0.0028,0.0021,0.0000,0.0036,0.0017,0.0012,0.0030,0.0013,0.0009,0.0004,0.0006,0.0000
20,7686,17202,45,0,5802,14588,62,0,5076,14568,220,0,6190,14502,206,0,6313,16465,154,0,6285,15581,115,0,0.0065,0.0052,0.0042,0.0053,0.0056,0.0045,0.0062,0.0004,0.0034,0.0016,0.0014,0.0007,0.0017,0.0011,0.0004,0.0002,0.0010,0.0005,0.0011,0.0004,0.0004,0.0001
30,6379,10073,0,0,7349,13680,0,0,6532,12479,0,0,3570,7970,0,0,6042,12008,0,0,6632,10011,0,0,0.0033,0.0050,0.0050,0.0053,0.0048,0.0042,0.0054,0.0008,0.0011,0.0034,0.0015,0.0001,0.0000,0.0009,0.0001,0.0013,0.0007,0.0000,0.0016,0.0004,0.0044,0.0022
40,4454,7123,0,0,4428,8905,0,0,6955,12171,0,0,4820,8028,0,0,5888,10959,0,0,4881,8418,0,0,0.0034,0.0046,0.0034,0.0040,0.0047,0.0034,0.0006,0.0015,0.0002,0.0000,0.0007,0.0002,0.0005,0.0010,0.0002,0.0007,0.0001,0.0001,0.0000,0.0004,0.0000,0.0002
50,4080,10559,0,0,4932,7584,0,0,5714,8642,0,0,4010,7207,0,0,7038,10913,0,0,3863,8394,0,0,0.0024,0.0019,0.0028,0.0021,0.0030,0.0022,0.0019,0.0075,0.0080,0.0036,0.0072,0.0008,0.0000,0.0007,0.0000,0.0034,0.0009,0.0000,0.0037,0.0006,0.0010,0.0032
60,3476,9248,0,0,4616,6513,0,0,4002,6492,0,0,2570,5809,0,0,3731,6506,0,0,3742,9515,0,0,0.0016,0.0024,0.0017,0.0018,0.0016,0.0015,0.0005,0.0112,0.0067,0.0007,0.0048,0.0001,0.0006,0.0063,0.0013,0.0097,0.0031,0.0002,0.0056,0.0019,0.0004,0.0039
70,3759,8965,79,0,2365,7013,83,0,3382,6853,117,0,2875,7569,125,0,2248,8303,292,0,2401,7765,118,0,0.0031,0.0035,0.0029,0.0039,0.0023,0.0026,0.0099,0.0013,0.0011,0.0007,0.0080,0.0026,0.0038,0.0005,0.0035,0.0003,0.0018,0.0103,0.0054,0.0041,0.0010,0.0020
80,3201,5194,7,0,2850,7379,83,0,4465,5047,12,0,2842,5975,2,0,3937,7379,13,0,2641,5505,126,0,0.0043,0.0042,0.0036,0.0049,0.0036,0.0028,0.0078,0.0077,0.0040,0.0020,0.0006,0.0057,0.0209,0.0035,0.0042,0.0018,0.0115,0.0076,0.0145,0.0005,0.0048,0.0039
90,2629,6880,13,0,1845,5768,14,0,2579,5097,6,0,3255,7246,13,0,3455,11237,13,0,2858,6481,28,0,0.0070,0.0056,0.0044,0.0075,0.0064,0.0056,0.0047,0.0008,0.0021,0.0007,0.0011,0.0007,0.0055,0.0029,0.0001,0.0026,0.0004,0.0062,0.0009,0.0035,0.0002,0.0035
