generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
0,288.1,750.0,107107,0.5602,0.0002,0.0097,0.0207,-0.0479,-0.2201,0.0000,0.8089,0.0000,0.0000,0.0000,12.0,12,12,6.0,6,6,199,1.7856,127
10,361.7,850.0,128951,0.5272,0.0015,0.0078,0.0141,-0.0616,-0.2967,0.0000,0.7449,0.0000,0.0000,0.0000,11.9,10,15,6.0,4,8,140,1.7676,64
20,351.9,750.0,127069,0.5571,0.0079,0.0098,0.0107,-0.0993,-0.3829,0.0000,0.7971,0.0000,0.0000,0.0000,11.9,10,16,6.2,4,8,138,1.7522,61
30,344.9,800.0,124467,0.4992,0.0005,0.0268,0.0493,-0.1367,-0.3634,0.0000,0.7800,0.0000,0.0000,0.0000,12.0,9,14,6.3,4,8,147,1.7567,69
40,347.3,765.0,125428,0.5316,0.0005,0.0228,0.0371,-0.0181,-0.2808,0.0000,0.6448,0.0000,0.0000,0.0000,12.0,9,14,6.7,4,9,133,1.7285,66
50,376.3,850.0,131872,0.5551,0.0009,0.0232,0.0287,-0.0627,-0.2818,0.0000,0.7553,0.0000,0.0000,0.0000,12.2,9,15,6.7,4,9,130,1.7039,56
60,363.8,900.0,128787,0.5154,0.0013,0.0324,0.0329,-0.0578,-0.3050,0.0000,0.7250,0.0000,0.0000,0.0000,12.2,10,15,6.7,5,9,143,1.7220,85
70,390.9,800.0,134784,0.5379,0.0017,0.0254,0.0223,0.0412,-0.2478,0.0000,0.7593,0.0000,0.0000,0.0000,12.1,9,15,7.0,4,9,131,1.6390,63
80,392.0,900.0,131794,0.5134,0.0041,0.0399,0.0402,-0.1326,-0.2028,0.0000,0.7475,0.0000,0.0000,0.0000,12.1,10,14,6.8,4,9,149,1.6410,76
90,393.2,900.0,133368,0.4972,0.0017,0.0773,0.0546,-0.0807,-0.2274,0.0000,0.7640,0.0000,0.0000,0.0000,12.0,10,13,7.1,3,9,137,1.6632,60
