generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
0,296.4,750.0,266215,0.4337,0.0021,0.0135,0.0069,0.3767,0.0345,0.0000,0.5180,0.0000,0.0000,0.0000,12.0,12,12,6.0,6,6,706,1.7862,256
10,349.3,736.5,313843,0.4778,0.0039,0.0219,0.0199,0.0386,-0.0061,0.0000,0.7008,0.0000,0.0000,0.0000,12.0,9,14,6.0,3,9,506,1.7758,136
20,362.1,700.0,335643,0.4741,0.0014,0.0065,0.0100,-0.0883,-0.0384,0.0000,0.7246,0.0000,0.0000,0.0000,12.0,9,15,6.1,3,9,492,1.7769,200
30,366.7,700.0,342930,0.4022,0.0032,0.0045,0.0144,0.0101,0.0142,0.0000,0.7031,0.0000,0.0000,0.0000,12.1,9,15,6.4,3,9,447,1.7732,149
40,377.2,700.0,354037,0.4250,0.0020,0.0035,0.0106,0.0234,-0.0137,0.0000,0.7212,0.0000,0.0000,0.0000,12.1,9,15,6.5,4,10,442,1.7701,151
50,381.6,700.0,365899,0.4219,0.0027,0.0049,0.0091,-0.0707,0.0040,0.0000,0.7624,0.0000,0.0000,0.0000,12.2,9,16,6.4,2,9,407,1.7520,93
60,396.6,800.0,376471,0.4349,0.0060,0.0057,0.0207,0.0159,-0.0072,0.0000,0.7767,0.0000,0.0000,0.0000,12.4,9,16,6.3,2,10,382,1.7232,101
70,404.9,700.0,386551,0.3422,0.0041,0.0037,0.0071,-0.2554,0.0006,0.0000,0.7103,0.0000,0.0000,0.0000,12.6,8,16,6.3,2,10,355,1.7386,103
80,383.5,650.0,367892,0.3565,0.0023,0.0043,0.0102,-0.1305,-0.0359,0.0000,0.7753,0.0000,0.0000,0.0000,12.4,9,17,6.3,2,11,393,1.7148,109
90,379.1,800.0,365216,0.5421,0.0012,0.0061,0.0196,0.0211,0.0244,0.0000,0.7816,0.0000,0.0000,0.0000,12.3,8,19,6.3,2,12,447,1.7405,117
100,375.7,650.0,361733,0.4145,0.0017,0.0055,0.0112,-0.0789,0.0701,0.0000,0.7629,0.0000,0.0000,0.0000,12.1,8,19,5.7,2,10,449,1.7078,108
110,380.8,650.0,366678,0.4517,0.0045,0.0066,0.0079,0.0350,-0.0414,0.0000,0.7638,0.0000,0.0000,0.0000,12.2,9,19,6.0,2,10,418,1.7335,90
120,380.7,750.0,367907,0.4600,0.0031,0.0044,0.0108,0.0567,-0.0205,0.0000,0.7490,0.0000,0.0000,0.0000,12.0,8,16,5.8,2,10,434,1.7231,88
130,400.5,650.0,385013,0.5362,0.0024,0.0030,0.0147,-0.2449,0.0072,0.0000,0.8108,0.0000,0.0000,0.0000,11.7,7,16,5.5,2,10,356,1.7466,98
140,405.0,700.0,392697,0.4330,0.0062,0.0058,0.0065,-0.0859,0.0419,0.0000,0.7578,0.0000,0.0000,0.0000,11.6,6,15,5.3,2,10,356,1.7420,83
150,385.9,650.0,374204,0.4608,0.0018,0.0122,0.0120,-0.0273,0.0008,0.0000,0.7857,0.0000,0.0000,0.0000,11.5,6,14,5.0,2,10,406,1.7357,100
160,392.9,700.0,380790,0.3988,0.0040,0.0164,0.0134,0.0107,-0.0058,0.0000,0.7901,0.0000,0.0000,0.0000,11.6,6,16,5.2,2,11,360,1.7321,72
170,394.9,750.0,381401,0.5160,0.0009,0.0090,0.0013,-0.0485,0.0299,0.0000,0.7890,0.0000,0.0000,0.0000,11.4,5,16,5.3,2,12,423,1.7213,75
180,407.0,700.0,391216,0.4473,0.0050,0.0133,0.0112,0.0349,-0.0237,0.0000,0.7861,0.0000,0.0000,0.0000,11.5,7,16,5.2,2,12,325,1.7275,142
190,413.2,650.0,398688,0.4702,0.0015,0.0178,0.0162,-0.0248,0.0408,0.4957,0.7947,0.0000,0.0000,0.0000,11.6,7,15,5.2,2,12,357,1.6874,86
200,399.8,750.0,385974,0.3832,0.0024,0.0081,0.0067,0.1262,0.0213,0.3541,0.7485,0.0000,0.0000,0.0000,11.1,6,16,5.0,2,11,377,1.6659,89
210,395.8,700.0,381356,0.5460,0.0008,0.0186,0.0107,0.1655,0.0283,0.8895,0.7601,0.0000,0.0000,0.0000,10.6,5,15,4.6,2,11,401,1.6245,88
220,382.0,750.0,369133,0.4607,0.0055,0.0147,0.0063,0.3929,0.0458,1.0022,0.7754,0.0000,0.0000,0.0000,10.7,5,16,4.5,2,10,438,1.6670,101
